experiment,video_name,step,agent,horizon,state,qvalues,best_action,use_figures,handle_deadlocks,check_safety,init_mode,temporal_init_mode,deadlock_init_mode,deadlock_protocole,with_stay
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,3,"(np.int64(0), np.int64(1))","[-487.23822173558546, -3.4401110564353266, -8.648275251635884, -503.5472990056061, -486.5255134824971]",1,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,3,"(np.int64(1), np.int64(2))","[-7.725530557207971, -494.653429621358, -6.793465209300985, -8.648275251635884, -7.77093680975605]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,3,"(np.int64(2), np.int64(1))","[-7.725530557207971, -8.648275251635884, -7.7216754105318035, -474.8874870724261, -6.793465209300985]",4,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,3,"(np.int64(1), np.int64(0))","[-472.08321342978456, -493.8842325584486, -471.40091996417584, -5.591499444783762, -8.648275251635884]",3,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,3,"(1, 1)","[-8.648275251635884, -496.1465852777292, -7.725530557207971, -497.4021771801705, -7.725530557207971]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,2,"(np.int64(0), np.int64(1))","[-503.40570994587074, -1.0000000000000333, -8.648275251635884, -506.53258704761527, -502.5497938624893]",1,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,2,"(np.int64(1), np.int64(2))","[-7.725530557207971, -502.5497938624893, -6.793465209300985, -8.648275251635884, -6.793465209300985]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,2,"(np.int64(2), np.int64(1))","[-7.725530557207971, -8.648275251635884, -6.793465209300985, -504.61349053831407, -6.793465209300985]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,2,"(np.int64(1), np.int64(0))","[-505.5355844503357, -506.53258704761527, -504.61349053831407, -1.0000000000000333, -8.648275251635884]",3,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,2,"(1, 1)","[-8.648275251635884, -503.40570994587074, -7.725530557207971, -505.5355844503357, -7.725530557207971]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,1,"(np.int64(0), np.int64(1))","[-500.9899887772478, -1.0000014601278224, -8.648275251635884, -500.9899900307062, -500.9899887540753]",1,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,1,"(np.int64(1), np.int64(2))","[-7.725530557207971, -500.9899887540753, -6.793465209300985, -8.648275251635884, -6.793465209300985]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,1,"(np.int64(2), np.int64(1))","[-7.725530557207971, -8.648275251635884, -6.793465209300985, -500.9899887540753, -6.793465209300985]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,1,"(np.int64(1), np.int64(0))","[-500.9899887772478, -500.9899900307062, -500.9899887540753, -1.0000014601278224, -8.648275251635884]",3,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,1,"(1, 1)","[-8.648275251635884, -500.9899887772478, -7.725530557207971, -500.9899887772478, -7.725530557207971]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,4,"(np.int64(0), np.int64(1))","[-58.56179249911949, -58.56179249911949, -8.648275251635884, -107.97617457412824, -57.648275251635866]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
0,safety_full_comparison_k3_L500_use_T_handT_checT_initQs_tempQs_deadZe_deadQ_withT_rep1.mp4,0,0,4,"(np.int64(1), np.int64(2))","[-7.725530557207971, -57.648275251635866, -6.793465209300985, -8.648275251635884, -6.793465209300985]",2,True,True,True,Qstar,Qstar,Zeros,Q,True
